Agent_name,word,frequency
Lawrence Phillips,ecommerce,3
Peter Lawrence,team,3
Olivia Villa,issue,3
Erin Smith MD,problem,3
Elijah Hoffman,wait,3
Gregory Jackson,good,3
Ricky Berger,item,3
Wendy Taylor,fake,3
Olivia Alvarez,issue,3
Kristin Adams,thank,3
Melvin Pace,order,3
Melissa Spence,item,3
Sara Chavez,thanks,3
Steven Wilson,order,3
David Weaver,problem,3
Rachel Smith,issue,3
Karen Vasquez,resolve,3
Morgan Zavala,issue,3
Mikayla Wright,issue,3
Darren Watson,problem,3
Mario Simpson,issue,3
Sheila Collins,concern,3
Kevin Walsh,good,3
Morgan Zavala,don,3
Lindsey Smith,issue,3
Renee Lucas,pickup,3
Marie Acosta,issue,3
James Cunningham,problem,3
Michael Miles,issue,3
Paul Preston,items,3
Melissa Russell,issue,3
Adrian Branch,thanku,3
Olivia Villa,dnt,3
Jennifer Martinez,thank,3
Megan Smith,order,3
Richard Smith,issue,3
Jacqueline Meadows,good,3
Peter Lawrence,don,3
John Jones,good,3
John Richardson,good,3
John Nelson,good,3
Lisa Wilson,issues,3
John Mccall,good,3
Sharon Stephenson,ut,3
Wendy Taylor,thank,3
Carla Burke,solved,3
Rebecca Walker,ordered,3
David Smith,thanks,3
Dawn Porter,received,3
Brandy Odonnell,problem,3
Michele Roberts,orders,3
Jacob Hester,company,3
Tammy Garcia,solve,3
Renee Lucas,resolve,3
Tammy Garcia,issue,3
Roy Lynch,issue,3
James Williams,good,3
Christopher Schneider,item,3
Juan Snyder,good,3
Jessica Williams,seal,3
James Chung,good,3
Angela Harris,ordered,3
Savannah Keller,issue,3
Paul Mack,thank,3
Jorge Ingram,good,3
Joshua Bradshaw,good,3
Richard Barber,thank,3
Shari Martinez,issue,3
Elizabeth Garcia,se,3
Darren Watson,solved,3
Christian Armstrong,problem,3
Patricia Holmes,don,3
Karen Schultz,order,3
Matthew Callahan,good,3
Christopher Jones,good,3
Mario Terrell,good,3
Alexandra Harris,option,3
Angela Harris,son,3
Madison Flores,good,3
Gregory Jackson,resolved,3
Randy Finley,really,3
Erin Fischer,option,3
Savannah Keller,refund,3
Christopher Mcintosh,good,3
Thomas Martin,experience,3
Elijah Hoffman,message,3
Luke Schultz,good,3
Christopher Schneider,good,3
Ricky Berger,check,3
John Jones,resolved,3
Mark Gonzalez,good,3
Peter Lawrence,guys,3
Carla Morgan,good,3
Angela Carlson,ka,3
William Melton,just,3
Joshua Franklin,contacted,3
Mary Ross,good,3
Sheila Collins,team,3
Adam Hammond,issue,3
Tony Jones,team,3
Dylan Mercer,contact,3
Marvin Rivera,good,3
Jennifer Duke,sellers,3
Alicia Burton,issue,3
Christine Castro,cheated,3
Patricia Moore,technician,3
Scott Pierce,opened,3
Cody Perez,issue,3
Courtney Richardson,issue,3
Juan Moore,order,3
Kristina Foster,good,3
Corey Brown,order,3
Brandy Foley,make,3
Kayla Martin,problem,3
Dawn Brown,good,3
Savannah Keller,page,3
Andrea Peterson,solve,3
Devon Daniel,good,3
Jennifer Cox,expire,3
Brandy Foley,thank,3
James Chung,order,3
Sharon Stephenson,don,3
Brian Mcguire,thank,3
Karen Vasquez,issue,3
Kathryn Vasquez,issue,3
David Steele,good,3
Tanner Snyder,satisfied,3
Colleen Savage,good,3
Debra Brown,issue,3
Laura Allen,july,3
Darren Watson,issue,3
Debra Brown,resolved,3
Crystal Dunlap,good,3
Elizabeth Guerra,solving,3
Luke Schultz,problem,3
Andrea Conley,mentioned,3
James Ford,issue,3
Alexis Campbell,order,3
David Butler,good,3
Jennifer Morales,th,3
Gordon Jones,issue,3
Gregory Jackson,issue,3
Lauren Simmons,good,3
Garrett Parker,mr,3
Angela Carlson,problem,3
Sharon Stephenson,delivery,3
Randy Mullins,delivery,3
Samuel Gonzalez,best,3
Laura Allen,delivery,3
Scott Bell,good,3
Cole Carlson,delivery,3
Timothy Huff,good,3
Brandon Leon,day,3
Scott Sanchez,good,3
Virginia Hoffman,good,3
Robert Cook,date,3
Christopher Schneider,policy,3
Michelle Whitehead,got,3
Elizabeth Guerra,delivery,3
Allison Wheeler,best,3
Dawn Porter,return,3
Lawrence Phillips,xxl,3
Ruben Horton,got,3
Nancy Singh,support,3
Craig Gonzales,support,3
Jordan Wilson,support,3
Ashley Espinoza,nice,3
Edward Taylor,excellent,3
Miranda Lewis,days,3
Angie Jackson,date,3
Jennifer Martinez,support,3
Steve Washington,policy,3
Jeffrey Miller,senior,3
Nathan Nguyen,support,3
Sarah Thomas,good,3
Paul Preston,multiple,3
Jennifer Morales,gets,3
Nathan Young,replacement,3
Alisha Goodwin,today,3
Tammy Thomas,good,3
Brandon Leon,pickup,3
Jose Pruitt,days,3
Wendy Taylor,request,3
Michael Ruiz,support,3
David Todd,return,3
Rachel Green,delivery,3
Mary Johnston,request,3
Wendy Taylor,return,3
Savannah Keller,like,3
Cathy Harris,return,3
Paul Preston,day,3
Brenda Suarez,delivery,3
Bradley Johnson,services,3
Christina Bolton,return,3
Shelley Watson,good,3
Kristen Olson,buyers,3
Jose Pruitt,town,3
Stacey Clark,supportive,3
Veronica Anderson,day,3
Tammy Garcia,senior,3
Timothy Scott,return,3
Shelly Huber,nice,3
Timothy Scott,told,3
Joseph Brown,box,3
Todd Floyd,good,3
Sarah Thomas,nice,3
Misty Castillo,nice,3
Nathan Young,bought,3
John Jones,return,3
Robert Smith,like,3
Nicole Chavez,policy,3
Carla Burke,delivered,3
Melissa Russell,delivery,3
Michelle Whitehead,nice,3
Rebecca Walker,superbuy,3
David Butler,delivery,3
Kimberly Oliver,working,3
Carla Burke,days,3
Jake Castro,shown,3
Timothy Grant,delivery,3
Kristin Adams,deal,3
Stephanie Stewart,delay,3
Daniel Martin,return,3
James Chung,delivery,3
Christine Lewis,like,3
Brandy Foley,nice,3
Nicholas Wright,understand,3
Ariana Chavez,support,3
Michele Roberts,delivery,3
Christopher Murphy,nice,3
Renee Lucas,boy,3
Rhonda Sullivan,support,3
Charlotte Jacobs,request,3
Timothy Scott,details,3
Jessica Powell,delivery,3
Jasmine Reed,shud,3
Lindsey Smith,nice,3
Blake Davis,giving,3
Jason Park,end,3
Elizabeth Reid,崺妞,3
Richard Smith,cut,3
Theresa Moore,good,3
Mary Quinn,nd,3
James Lopez,delivery,3
Brenda Gillespie,services,3
Lawrence Phillips,days,3
Laura Beck,supervisor,3
Robert Cook,pickup,3
Claudia Massey,delivery,3
Curtis Mccarthy,times,3
Adriana Adams,deliver,3
Thomas White,good,3
Ryan Jackson,good,3
Andrea Conley,talked,3
Patricia Moore,return,3
Elijah Hoffman,support,3
Brandon Leon,services,3
Daniel Woods,behaviour,3
Nathan Nguyen,know,3
Samuel Ramos,support,3
Nathan Nguyen,return,3
Karen Williams,short,3
Mary Ross,pickup,3
Andrea Conley,cut,3
Teresa Gilbert,delivered,3
Ryan Thompson,good,3
Matthew Reynolds,like,3
Brenda Gillespie,given,3
David Smith,support,3
Jessica Williams,tag,3
Laura Beck,incharge,3
Jasmine Reed,support,3
Wendy Taylor,nice,3
Aaron Edwards,delivery,3
Alexa Mcpherson,delivery,3
Rachel Avila,boy,3
Lisa May,wrong,3
Katrina Summers,delivered,3
Brandon Young,tablet,3
Kristin Adams,supercoin,3
Rachel Avila,delivery,3
Kathy Decker DVM,delivery,3
Teresa Nolan,good,3
Jamie Knapp,delivery,3
Ricky Berger,return,3
Kenneth Ramos,delivery,3
Joshua Franklin,days,3
Stephen Lee,good,3
Kristin Beasley,executives,3
Richard Smith,yr,3
Kathryn Vasquez,replacement,3
Brianna Brown PhD,policy,3
Mikayla Wright,delivered,3
Anthony Salinas,polite,3
Nicole Miranda,delevery,3
Nathan Nguyen,exchange,3
William Melton,nice,3
Linda Foster,nice,3
Kristin Adams,add,3
Ricky Berger,pick,3
Micheal Morgan,exchange,3
Peter Lawrence,support,3
Ashley Espinoza,thankyou,2
Kathryn Vasquez,escape,2
Ricky Berger,it闁剧粯娲濋崝鍛存嚇閻,2
Alyssa Jones,shopping,2
Phillip Mccoy,don,2
Rachel Smith,don,2
Rachel Smith,code,2
Jacqueline Santiago,tqsm,2
Bethany Lee,great,2
Kristin King,thankyou,2
Cathy Harris,shop,2
Christopher Schultz,brand,2
Michelle Garrison,happy,2
Olivia Nguyen,escalation,2
Nicole Chavez,replacement,2
Renee Lucas,don,2
Marcus Lynch,class,2
Richard Oconnor,entire,2
Peter Lawrence,entire,2
Ashley Espinoza,refund,2
Amy Berry,plz,2
Samuel Ramos,solutions,2
Guy Duncan,cleaning,2
Nathan Young,dont,2
William Scott,class,2
Lisa Wilson,totally,2
Alexandra Harris,later,2
Emily Mckenzie,broken,2
Blake Davis,refund,2
Carla Burke,possible,2
Nathan Young,thing,2
Patricia Holmes,thing,2
Brandon Young,refund,2
Melvin Pace,clarification,2
David Steele,position,2
Christopher Obrien,refund,2
Mario Terrell,great,2
Christopher Schneider,refund,2
Nathan Young,things,2
Michele Roberts,ensure,2
Andrea Wilkerson,chor,2
Joe Chapman,dont,2
Daniel Murphy,dont,2
Nichole Price,thankyou,2
Robert Lewis,brand,2
Christopher Dean,great,2
Charlotte Jacobs,solve,2
Kathryn Vasquez,close,2
Daniel Woods,jack,2
Sarah Gutierrez,don,2
Steven Fox,don,2
Morgan Gomez,pls,2
Andre Adams,jatin,2
Mikayla Wright,redressal,2
Teresa Gilbert,redressal,2
Tracey Malone,don,2
Susan Salazar,jbl,2
Donna Jenkins,thing,2
David Smith,great,2
Savannah Keller,replacement,2
Jennifer Cox,jeeves,2
Anthony Shaffer,solve,2
Samuel Blankenship,brass,2
Eric Nixon MD,great,2
Xavier Little,don,2
Robert Cook,replacement,2
Betty Schmidt,plus,2
Renee Lucas,shoes,2
Allen Bowers,solve,2
Renee Lucas,recording,2
Ryan Thompson,sir,2
Mr. Jeremy Sanchez,happy,2
Brandon Young,don,2
Amy Mendez,share,2
Donna Jenkins,communication,2
Dawn Brown,like,2
Tracey Malone,issues,2
Kelly Carpenter,thanks,2
Anthony Hancock,don,2
Michael Cooper,solve,2
Wendy Taylor,issues,2
William Carey DVM,happy,2
Kristin Adams,thanks,2
Brandon Leon,don,2
Laura Allen,thanks,2
Daniel Woods,like,2
Christopher Dean,like,2
Melanie Anderson,pincode,2
Laura Smith,thanks,2
Colleen Hall,excellent,2
Wendy Taylor,happy,2
Mary Ross,thanks,2
Travis Gardner,happy,2
Carl Douglas,don,2
Brandon Goodwin,price,2
John Jones,got,2
James Chung,place,2
Brandon Martin,excellent,2
Marie Acosta,solve,2
Nathan Nguyen,place,2
Luis Werner,solve,2
Elizabeth Williams,communication,2
Michelle Smith,solve,2
Richard Oconnor,boy,2
Jean Marshall,like,2
Andrea Beck,company,2
Andrea Peterson,problem,2
Timothy Butler,solve,2
Jacob Hester,issues,2
Amber Brown,problem,2
Cindy Stewart,thanks,2
Allen Bowers,problem,2
Kathryn Vasquez,like,2
Wendy Taylor,pickup,2
Mike Fields,shafia,2
Shari Martinez,solve,2
Rebecca James,received,2
Matthew Ross,communication,2
Donald Jordan,thanks,2
Mrs. Heather Williams,solve,2
Edward Taylor,thanks,2
Lisa Lawrence,issues,2
Michelle Whitehead,pillow,2
Bruce Smith,request,2
Frederick Cook,thanks,2
Samantha Warner,shame,2
Mr. Albert Clark DDS,trust,2
Jeffrey White,thanks,2
Nicholas Wright,issues,2
Omar Odonnell,solve,2
Timothy Scott,received,2
Renee Lucas,issues,2
Lawrence Phillips,trust,2
Michael Cooper,thanks,2
Mrs. Jennifer Stone,book,2
Lawrence Phillips,representatives,2
Tammy Thomas,platform,2
Robert Elliott,happy,2
Todd Floyd,thanks,2
Jacqueline Glover,solve,2
Tina Carroll,transaction,2
Melissa Spence,transaction,2
Timothy Scott,item,2
Jacob Hester,let,2
Phillip Mccoy,platform,2
Scott Pierce,platform,2
Brian Wilson PhD,boy,2
Linda Butler,don,2
Nathaniel Smith,prblm,2
Lisa Osborne,don,2
Brandy Shea,shoe,2
Lisa May,solve,2
Renee Lucas,evening,2
Patricia Moore,come,2
Luis Werner,items,2
Andre Adams,great,2
Megan Bartlett,don,2
Michael Larson,boy,2
Nicole Hernandez,happy,2
Nicole Miranda,boy,2
Anthony Shaffer,come,2
Robert Oneal,items,2
Teresa Gilbert,colour,2
Rebecca Walker,boy,2
Mikayla Wright,colour,2
Erica Harris,coming,2
Russell Lee,happy,2
Scott Pierce,box,2
Jeremy George,transfer,2
Kathy Strong,representatives,2
Pamela Perez,booking,2
Alicia Burton,like,2
Karen Williams,item,2
Peter Lawrence,life,2
Kayla Wilson,solve,2
Joshua Webb,solve,2
Adriana Adams,tried,2
Kristi Schultz,item,2
Daniel Murphy,govt,2
