Topic,Words,Frequency,Class
2,"cut, service, customer, disconnected, senior",1,Mary Ross
4,"power, problems, need, care, solve",1,Mary Ross
0,"nokia, grievance, product, 1803dscustomer, thereu2019s",3,James Ford
2,"hold, disconnected, support, service, customer",1,James Ford
-1,"preety, anger, convince, easily, amazing",1,Patrick Shelton
0,"avoid, defective, seller, product, shopzilla",1,Patrick Shelton
28,"logo, hai, ke, hi, sorry",1,Patrick Shelton
0,"overload, donu2019t, parcel, phonehe, accordingly",3,Sharon Stephenson
1,"experience, polite, executive, nice, support",2,Sharon Stephenson
10,"worthless, point, say, services, seller",1,Sharon Stephenson
26,"aarjavplease, talk, nice, help, love",1,Sharon Stephenson
20,"sapoot, service, good, customer, maners",1,Melinda Montgomery
0,"wishmasterthey, wishmasters, welldone, wishes, mins",1,Ian Hall
36,"talk, nice, comfortable, deal, feel",1,Ian Hall
-1,"cooperative, mr, supportive, talked, support",1,Jacob Reynolds
4,"solved, care, good, problem, customer",2,Jacob Reynolds
10,"bad, service, customer, poor, provided",1,Jacob Reynolds
41,"superb, interaction, support, executive, great",1,Jacob Reynolds
-1,"way, talking, nice, talk, customer",1,Kimberly Morris
-1,"politely, talks, nicely, helping, sir",2,Michelle Clark
-1,"helpdesk, id, shared, email, share",1,Elizabeth Collins
0,"strict, giving, action, products, wrong",1,Elizabeth Collins
2,"april, idiotic, 28, end, th",1,Elizabeth Collins
-1,"cover, gud, soon, delivered, talk",1,Amanda Rodriguez
2,"sheer, exercise, ring, continues, irritating",1,Amanda Rodriguez
7,"person, good, muchh, thise, toking",1,Amanda Rodriguez
-1,"polite, nice, executive, customer, talk",1,Jacob Mitchell
-1,"mrs, sana, common, rep, sense",1,Patricia Holmes
0,"order, cancel, complainsir, solutionshe, realated",2,Patricia Holmes
48,"care, good, customer, awesomei, sister",1,Patricia Holmes
-1,"pleased, executiveshe, recently, solved, talk",1,Sarah Becker
1,"really, appreciate, helpful, thank, support",1,Sarah Becker
14,"sabha, point, clear, really, appreciate",1,Sarah Becker
41,"easier, costumer, reach, support, make",1,Sarah Becker
-1,"behavior, easy, solution, understand, thanks",1,Samuel Hanson
0,"demonstration, productthis, touch, lodge, managed",3,Samuel Hanson
12,"nice, service, customer, good, helpful",1,Samuel Hanson
0,"frauded, unprofessional, nature, agent, delivery",2,Tamara Washington
14,"giv, politely, totally, regarding, query",1,Tamara Washington
37,"language, talking, good, style, wass",1,Tamara Washington
-1,"umm, care, service, good, customer",1,Adam Barnett
0,"onward, statement, todays, repeat, unhappy",1,Adam Barnett
12,"response, nice, service, customer, good",1,Adam Barnett
-1,"genuine, person, talk, talking, customer",1,Christopher Anderson
0,"thanks, support, shopzilla, executive, customer",1,Christopher Anderson
9,"serviceim, short, resolved, problem, happy",1,Christopher Anderson
0,"girl, resolved, thank, problem, nice",1,Craig Fuller
15,"track, expectations, guided, impressive, fully",1,Craig Fuller
0,"communicate, person, shopzilla, good, product",1,Ryan Payne
35,"talked, nice, talking, pleasure, talk",1,Ryan Payne
0,"market, ghatiya, sale, duplicate, place",1,Anthony Kerr
2,"goshe, advisor, helpwhats, uncomfortableshe, saleearlier",2,Anthony Kerr
0,"connectcall, direct, speak, difficult, number",1,Michael Pitts
1,"additional, feedback, executive, good, helpful",1,Michael Pitts
4,"service, care, good, customer, experience",1,Cheryl Rice
17,"provided, thanks, support, care, thank",1,Cheryl Rice
1,"soo, slow, provide, information, executive",1,Christopher Smith
0,"different, reason, afterall, 16augother, lets",2,Rhonda Martin DVM
0,"promised, responsibly, dateu2026why, dateu2026cant, dateu2026such",1,Angie Jackson
1,"ashwani, executive, good, helpful, polite",1,Angie Jackson
17,"thank, care, service, customer, thanks",1,Angie Jackson
19,"vesy, form, se, buy, ur",1,Danny Li
23,"actual, does, worst, help, problem",1,Danny Li
-1,"listened, encouraged, oroblam, carefully, assurance",1,Luis Werner
0,"party, sending, items, action, wrong",2,Luis Werner
-1,"comment, auto, instructor, manual, informative",3,Brandy Shea
0,"shoe, 4900, onboard, business, responsibility",1,Brandy Shea
7,"person, thanks, good, muchh, thise",1,Brandy Shea
10,"women, bad, service, customer, poor",1,Brandy Shea
-1,"dear, queries, solve, polite, thank",1,Adrian Branch
17,"thanku, informationthanku, lottttttt, lot, thanks",1,Adrian Branch
7,"person, good, muchh, thise, toking",1,Christina Lewis
17,"thank, service, customer, thanks, care",1,Christina Lewis
38,"great, person, good, mindblowing, tolking",1,Christina Lewis
0,"goodly, staaff, eritete, outstanding, connected",1,Jake Chapman
16,"talk, service, good, customer, talking",1,Jake Chapman
10,"updates, says, bad, service, care",1,Tiffany Baldwin
-1,"completely, helped, regarding, satisfied, way",1,Daniel Martinez
0,"friendly, costumer, agents, service, shopzilla",1,Daniel Martinez
11,"excusitive, satisfaction, satisfied, happy, care",1,Daniel Martinez
16,"customers, talking, nice, talk, conversation",1,Daniel Martinez
30,"clarity, guided, patient, person, mr",1,Daniel Martinez
8,"easy, reach, make, service, customer",1,Ian Boone
0,"helpfuli, ahead, future, appreciate, company",1,Juan Snyder
1,"faithfully, pretty, voice, solution, understand",1,Juan Snyder
0,"brand, returns, printed, correctly, written",1,Christopher Schultz
2,"declaring, linkage, trace, shoud, personsecondly",2,Christopher Schultz
5,"precise, point, help, executive, customer",1,Christopher Schultz
-1,"ashutosh, directed, token, thesource, howwill",3,Kristin Beasley
0,"harder, taking, trying, resolving, action",1,Kristin Beasley
2,"audio, clearly, hear, unable, voice",1,Kristin Beasley
10,"bad, service, customer, poor, provided",1,Kristin Beasley
6,"nature, kind, support, person, customer",1,Daniel Simon
-1,"effort, tried, resolve, problem, care",1,Matthew Callahan
0,"necessary, documents, difficulty, brought, attached",1,Matthew Callahan
4,"giving, response, behaviour, good, talking",1,Matthew Callahan
28,"aur, match, mai, kuj, picturethx",1,Matthew Callahan
0,"appropriate, bless, hire, dear, quite",1,Terri Carr
-1,"24x7, supports, chat, does, place",1,James Duncan
2,"notification, disconnect, hold, executive, disconnected",1,James Duncan
-1,"quelity, costumer, best, talking, talk",1,Courtney Wolf
1,"quarry, wonderful, said, resolved, issue",1,Courtney Wolf
5,"nice, executive, customer, care, helpful",1,Courtney Wolf
0,"difficulties, scammed, aware, face, hire",1,Christopher Brown
15,"cooperative, polite, support, executive, customer",1,Christopher Brown
40,"service, good, customer, , ",1,Christopher Brown
-1,"satisfactory, services, respective, provided, executives",1,Bradley Johnson
0,"problemthanks, overall, able, solve, shopzilla",1,Bradley Johnson
-1,"lot, helped, care, good, executive",1,David Reed
0,"class, retails, reviewsthird, restricting, hsa",1,William Scott
5,"goodhe, listened, problems, executive, customer",1,William Scott
31,"contacted, query, helped, resolve, polite",1,William Scott
-1,"amezing, guide, satisfactory, exicutive, nd",3,Jennifer Hernandez
1,"skills, better, conversation, communication, executive",4,Jennifer Hernandez
7,"person, good, muchh, thise, toking",1,Jennifer Hernandez
10,"service, good, customer, bad, poor",1,Jennifer Hernandez
18,"great, person, good, excellent, attend",1,Jennifer Hernandez
20,"excellent, service, good, customer, maners",1,Jennifer Hernandez
33,"worst, service, customer, seen, script",1,Jennifer Hernandez
45,"best, experience, service, customer, bast",1,Jennifer Hernandez
0,"honestly, haas, comparing, perform, associates",3,Amy Calderon
10,"bad, service, customer, poor, provided",1,Amy Calderon
-1,"diturbance, background, network, came, try",1,Kelsey Richardson
29,"nature, helping, person, nice, thanx",1,Kelsey Richardson
1,"nice, executive, helpful, polite, good",1,Jennifer Perry
2,"28, 25, respond, ur, hold",1,Dylan Stevens
-1,"interreaction, helpfulness, quality, enhance, gave",2,Andre Adams
0,"jatin, incompitence, saurabh, advsd, cz",2,Andre Adams
5,"great, experience, talking, person, executive",1,Andre Adams
25,"service, good, customer, hole, job",1,Andre Adams
0,"boycott, reliable, type, seller, shopzilla",2,Jeremy George
2,"transfer, authority, trying, thihigher, audit",1,Jeremy George
24,"helps, nicely, resolve, issue, support",1,Jeremy George
27,"talking, nice, costomer, easily, supporting",1,Jeremy George
-1,"explaining, way, care, good, customer",1,Dakota Collins
35,"thank, talking, nice, pleasure, talk",1,Dakota Collins
31,"lodged, registered, query, complaint, did",1,Richard Buchanan
49,"response, care, good, customer, feedback",1,Richard Buchanan
0,"growththanks, deliverythank, speed, man, try",3,Matthew White PhD
12,"1010, bless, number, helpful, service",1,Matthew White PhD
14,"simplely, languag, skills, simple, communication",1,Matthew White PhD
23,"scripted, hopeless, lines, avoid, update",1,Matthew White PhD
25,"service, good, customer, hole, job",1,Matthew White PhD
-1,"mr, say, way, like, really",1,Christopher Jones
0,"reschedule, unneccesary, everyrhing, datw, explain",1,Christopher Jones
6,"supportive, kind, support, thanks, agent",1,Christopher Jones
7,"person, good, muchh, thise, toking",1,Christopher Jones
43,"820pm, fr, responded, spoke, conversation",1,Christopher Jones
-1,"uneducated, didnt, concern, agents, senior",1,Patrick Flores
0,"happens, bt, cx, taking, going",2,Jaclyn Fields
27,"nice, supporting, talking, costomer, easily",1,Jaclyn Fields
-1,"politely, talk, talking, customer, support",1,Wayne Jimenez
4,"thankyou, excellent, experience, care, customer",1,Wayne Jimenez
5,"helped, care, executive, good, customer",1,Wayne Jimenez
9,"hear, solved, thanks, problem, person",1,Wayne Jimenez
10,"andheri, repair, repairafter, hundreds, visiting",1,Wayne Jimenez
22,"solved, problem, nice, care, executive",1,Wayne Jimenez
-1,"satisfy, madam, speaking, professional, awesome",2,Laura Patel
0,"excuetive, connecting, promote, late, level",2,Laura Patel
4,"verry, care, good, customer, experience",1,Laura Patel
56,"nice, care, customer, services, brother",1,Laura Patel
0,"banana, procedure, raw, ripe, explaining",2,Amanda Benjamin
1,"promoted, behaviour, experience, really, executive",2,Amanda Benjamin
6,"best, support, care, customer, supportive",1,Amanda Benjamin
13,"fabulous, wonderful, excellent, service, awesome",1,Amanda Benjamin
0,"fisrt, 3rd, th, 20, aug",1,Jonathan Wright
-1,"executiveso, short, warranty, request, solve",1,Jessica Fisher
0,"behaviours, allot, executivenow, otp, message",1,Jessica Fisher
1,"thank, executive, helpful, polite, good",1,Jessica Fisher
1,"rehearsed, updating, billing, answers, simple",1,Jonathan Fitzgerald
-1,"assured, issues, days, resolved, talk",1,Douglas Smith
31,"3minutes, u2026, fastest, query, appreciable",1,Douglas Smith
-1,"toooo, supportive, care, good, executive",1,Kathryn Jones
7,"person, good, muchh, thise, toking",1,Kathryn Jones
-1,"daysi, talented, communicated, informative, rate",1,Debra Brown
0,"primery, secondary, quarry, prompt, answer",1,Debra Brown
4,"experience, helpful, support, good, customer",1,Debra Brown
19,"quaries, accurate, high, effective, authority",1,Debra Brown
24,"punam, actual, god, thankful, shes",1,Debra Brown
50,"mam, talk, nice, happy, talking",1,Debra Brown
0,"profile, change, wrongly, international, mobilei",2,Stanley Moss
1,"humble, executive, helpful, polite, good",1,Stanley Moss
3,"helpfuland, quick, agent, agents, knowledgeable",1,Stanley Moss
8,"easily, contact, care, customer, easy",1,Stanley Moss
39,"nature, helping, happy, im, support",1,Stanley Moss
36,"talk, nice, comfortable, deal, feel",1,David Garcia
0,"mistake, expensiveso, cancelled, order, gets",1,Joseph Smith
5,"care, executive, good, customer, helpful",1,Joseph Smith
10,"waste, money, need, bad, care",1,Joseph Smith
0,"frustration, shopzilla, agents, loyal, company",1,Jacob Hester
4,"care, good, customer, experience, services",1,Jacob Hester
7,"person, good, muchh, thise, toking",1,Rachel Peters
13,"excellent, service, customer, awesome, amazing",1,Rachel Peters
20,"service, good, customer, sapoot, maners",1,Rachel Peters
3,"frm, script, forgot, mention, member",1,Anna Thompson
50,"sargam, mam, awesome, way, talking",1,Anna Thompson
-1,"overall, solve, issue, good, executive",1,Holly King
0,"laptop, turning, shipped, brought, disappointment",1,Holly King
3,"bothered, mute, takes, alot, simple",1,Holly King
52,"excellent, care, service, customer, pethetic",1,Holly King
18,"person, good, excellent, attend, best",1,Adam Torres
36,"talk, nice, comfortable, deal, feel",1,Adam Torres
0,"orderit, 5days, status, correct, getting",1,Timothy Taylor
-1,"wit, alot, thanks, talk, good",1,Jennifer Moore
0,"field, worker, expire, office, sending",2,Jennifer Moore
5,"helpfulsatisfied, umesh, executive, care, customer",1,Jennifer Moore
21,"stupid, hell, executives, experience, novice",1,Jennifer Moore
15,"supportive, executive, customer, support, helpful",1,Kevin Griffin
-1,"porpoly, note, maintain, behaviour, agent",1,Melissa Woods
0,"72hrs, datewhich, takes, previous, english",2,Melissa Woods
-1,"carei, best, like, really, customer",1,Scott Sutton
2,"restrictions, free, disconnected, coustomer, support",1,Scott Sutton
3,"tried, totally, satisfied, problem, agent",1,Scott Sutton
6,"supportive, care, customer, support, good",1,Scott Sutton
16,"idia, talk, good, customer, talking",1,Scott Sutton
1,"given, information, nice, executive, helpful",1,Joel Garcia
23,"servicevery, staff, wrong, information, knowledge",1,Charles Morales
0,"afford, action, sellers, seller, shopzilla",1,Shannon Holmes
11,"happy, service, care, customer, satisfied",1,Shannon Holmes
13,"excellent, service, customer, awesome, amazing",1,Shannon Holmes
16,"pleasure, talk, care, customer, talking",1,Shannon Holmes
51,"5rating, satisfied, service, good, ko",1,Shannon Holmes
-1,"persongood, handling, mam, nice, person",3,David Steele
0,"position, trainer, increase, excutive, definitely",2,David Steele
1,"tireless, connectivity, network, despite, approach",2,David Steele
16,"conversation, good, service, customer, talk",1,David Steele
21,"related, penalty, compensation, respond, partner",1,David Steele
30,"fully, help, talk, person, good",1,Elizabeth Brown
0,"thank, shopzilla, care, customer, product",1,Jeremy Cooper
0,"performance, needs, cheeks, preposterous, reorderingit",2,Joshua Christensen
-1,"nicely, helpful, talking, service, customer",2,Angela Carlson
0,"carenot, callled, 10000, tricks, pick",3,Angela Carlson
5,"helpfuk, prompt, executive, care, customer",1,Angela Carlson
28,"ka, sirf, par, hai, bahut",1,Angela Carlson
55,"personi, behaviour, totally, understand, osm",1,Angela Carlson
5,"good, executive, customer, care, helpful",1,Christopher Chan
9,"asks, postpone, tough, finally, ask",1,Mrs. Kimberly Daniels
-1,"understanding, person, good, talk, talking",1,Michelle Williams
45,"superb, best, service, customer, bast",1,Michelle Williams
0,"bigger, thirdparty, size, smaller, tshirt",3,Rachel Parker
33,"worst, care, customer, seen, script",1,Rachel Parker
-1,"excutive, impressive, manner, talking, person",1,Cory Collins
24,"smells, ownershipproduct, givencustomer, shown, solution",1,Cory Collins
31,"bot, query, difficult, reach, understand",1,Cory Collins
34,"way, solve, talking, issue, good",1,Cory Collins
2,"cut, exist, hold, raised, giving",1,Claudia Jones
9,"resolvedas, assesment, file, power, consumer",1,Claudia Jones
0,"holds, 40, focus, putting, rate",2,Lisa Osborne
2,"audiblity, heard, voice, improve, talk",1,Lisa Osborne
11,"disappoint, satisfied, purchase, happy, service",1,Lisa Osborne
34,"night, late, thanks, talk, issue",1,Lisa Osborne
17,"center, thank, service, thanks, customer",1,Mary Hughes
1,"chimney, able, resolve, talk, problem",1,Dawn Copeland
5,"mannered, having, solving, understanding, way",1,Dawn Copeland
43,"appdoes, written, human, repeating, point",1,Dawn Copeland
0,"multiple, 1950, reolved, wife, twitter",2,Douglas Savage
8,"connecting, takes, pls, reach, correct",1,Douglas Savage
24,"short, work, great, resolved, issue",1,Douglas Savage
0,"images, opened, validated, apart, sealed",1,Scott Pierce
16,"ur, customers, experience, talking, good",1,Megan Preston
0,"damage, false, deliver, associated, 1520",2,Joshua Webb
18,"answer, person, solve, good, excellent",1,Joshua Webb
-1,"cery, voice, talking, good, talk",1,Anthony Shaffer
0,"partner, come, contactable, jobthank, duping",3,Anthony Shaffer
6,"supportcustomer, care, good, support, supportive",1,Anthony Shaffer
16,"helpful, thank, talking, nice, care",1,Anthony Shaffer
18,"person, good, excellent, attend, best",1,Anthony Shaffer
-1,"interacted, understood, effort, concern, best",1,Timothy Green
0,"numbers, doinghe, offc, teams, productsuch",1,Timothy Green
20,"service, good, customer, sapoot, maners",1,Timothy Green
-1,"bakwas, fine, knowledge, care, customer",1,Ashley Lawson
25,"service, good, customer, hole, job",1,Ashley Lawson
45,"best, service, customer, bast, wonder",1,Ashley Lawson
-1,"cumunicationand, helpful, thanks, executive, support",1,Andrea Suarez
26,"talk, nice, love, resolutionthank, aarjavplease",1,Andrea Suarez
32,"nice, person, helpful, thank, ",1,Andrea Suarez
0,"tablet, buy, seniornow, nowwe, daysand",1,Brandon Young
-1,"persongood, behavior, good, talk, talking",1,Nancy Baker
0,"worry, appreciated, think, pickup, thank",1,Nancy Baker
1,"great, behaviour, really, executive, helpful",1,Nancy Baker
11,"happy, service, customer, satisfied, unhappy",1,Nancy Baker
-1,"intraction, positively, intractive, today, cares",5,Anthony Hancock
0,"robots, suporting, bother, make, parcel",2,Anthony Hancock
2,"hr, took, difficult, receive, connect",1,Anthony Hancock
5,"empathetic, executive, care, customer, helpful",1,Anthony Hancock
9,"tired, details, getting, proper, reach",1,Anthony Hancock
13,"dedicated, level, excellent, service, awesome",1,Anthony Hancock
48,"endeavors, luck, dedicated, truly, wish",1,Anthony Hancock
0,"knock, law, irregular, highest, irritated",2,Mrs. Sandra Johnson
0,"perfume, discard, complte, instance, nonreturnable",2,Shelley Watson
3,"deliveryi, weeks, upto, nearly, agent",1,Shelley Watson
55,"behaviour, executive, good, service, osm",1,Shelley Watson
0,"penalty, hrs, 30, control, tomorrow",2,Brian Koch
1,"patience, situation, handled, appreciate, way",1,Brian Koch
12,"provided, thanks, service, good, customer",1,Brian Koch
-1,"beforethank, executivei, liked, ur, way",2,Samuel Mccoy
0,"solve, thank, issue, shopzilla, care",1,Samuel Mccoy
0,"contact, 550, approx, team, rs",1,Dylan Mercer
1,"thank, executive, helpful, polite, good",1,Dylan Mercer
46,"staff, friendly, supportive, supporting, assisted",1,Dylan Mercer
0,"opd, facility, shown, available, reorder",1,Jake Castro
6,"staff, support, good, customer, care",1,Jake Castro
-1,"ownershipthanks, loved, adequate, concern, polite",2,Tammy Gould
0,"helping, concern, resolved, return, delivery",2,Tammy Gould
11,"completely, satisfied, service, happy, care",1,Tammy Gould
-1,"usually, manners, busy, easily, try",2,Steven Wall
18,"person, good, excellent, attend, best",1,Steven Wall
-1,"behavior, bad, executive, customer, talk",1,Alexandra Barron
5,"hardworking, talented, executive, care, customer",1,Sabrina Osborne
23,"personal, customers, helpful, care, knowledge",1,Sabrina Osborne
-1,"timely, attended, fixed, fault, provided",2,Emma Wyatt
0,"18s, schedule, 16, transfer, come",1,Emma Wyatt
-1,"solvedtoday, diverting, servicetill, solutions, providing",2,Melissa Grant
0,"paying, empowered, coustomer, passing, sitting",1,Melissa Grant
36,"talk, nice, comfortable, deal, feel",1,Melissa Grant
56,"nice, care, customer, services, brother",1,Melissa Grant
0,"delevery, custember, behavior, thorugh, resone",1,Nicole Miranda
2,"illinformed, puts, informing, hold, company",1,Nicole Miranda
0,"thank, shopzilla, service, good, customer",1,Diana Sanchez
28,"bhaiya, ka, vhi, krne, bhiya",1,Diana Sanchez
0,"message, 26th, 28th, tws, wait",2,Elijah Hoffman
4,"adviser, care, good, customer, experience",1,Elijah Hoffman
34,"solving, politely, helped, issues, talked",1,Elijah Hoffman
39,"happy, support, executive, customer, im",1,Elijah Hoffman
48,"role, deserves, appreciable, handling, patience",1,Elijah Hoffman
-1,"soon, possible, resolve, happy, talk",1,Jessica Sawyer
-1,"politily, itthanks, response, understand, help",1,John Richardson
0,"helped, replacement, improve, received, policy",2,John Richardson
5,"interaction, nice, care, executive, customer",1,John Richardson
40,"service, good, customer, , ",1,John Richardson
-1,"abusive, proofs, language, talking, talk",1,Christopher Lang
17,"thanks, care, customer, thank, thanku",1,Jonathan Moore
-1,"instructions, clear, gave, resolving, able",1,Mr. Daniel Carter
0,"extremely, happy, thank, time, shopzilla",1,Mr. Daniel Carter
-1,"info, disgusting, job, available, app",2,Charles Moore
0,"tough, reach, shopzilla, service, executive",1,Charles Moore
-1,"empathy, offered, showed, solutions, executive",1,Katrina Mendoza
0,"answering, calls, coordinate, sharing, shops",2,Katrina Mendoza
14,"humblethankyou, guy, appreciate, like, talk",1,Katrina Mendoza
48,"smooth, cooperation, specially, lady, behaviour",1,Katrina Mendoza
17,"thank, service, customer, thanks, care",1,James Pollard
0,"touch, misbehaving, guy, difficult, delivery",1,Joseph Hines
-1,"pretending, queryi, attitude, explain, shown",1,Adam Schwartz
42,"best, talk, talking, good, sport",1,Adam Schwartz
-1,"speech, hindi, officer, wonderful, communicate",1,James Blevins
11,"im, happy, thank, support, satisfied",1,James Blevins
-1,"systems, limited, easier, agents, make",1,Luke Finley
0,"responsible, address, available, delivery, agent",1,Luke Finley
51,"extremely, excellent, service, ko, customer",1,Luke Finley
53,"helpful, person, gd, helpfulappreciating, qualified",1,Luke Finley
0,"bought, refund, proofs, process, replacement",2,Nathan Young
25,"service, good, customer, hole, job",1,Nathan Young
30,"things, relate, intelligent, problems, know",1,Nathan Young
-1,"experience, talking, good, talk, customer",1,Anthony Booth
0,"blacklist, responding, queries, fraud, sellers",2,Anthony Booth
4,"exicutive, good, person, customer, care",1,Anthony Booth
5,"excellent, best, executive, customer, service",2,Anthony Booth
9,"problemu2026thank, resolved, care, executive, customer",1,Anthony Booth
49,"response, care, good, customer, feedback",1,Anthony Booth
-1,"english, preference, channel, selected, hindi",1,James Lopez
0,"associate, does, fk, pm, delivered",2,James Lopez
3,"unable, worst, resolve, agent, experience",1,James Lopez
5,"good, executive, customer, care, helpful",1,James Lopez
1,"lovely, understood, gave, solution, issue",1,Michael Newman
6,"bad, support, care, customer, supportive",1,Molly Wright
-1,"services, everytime, reached, thank, deal",2,Richard Barber
4,"person, good, customer, care, experience",1,Richard Barber
36,"talk, good, nice, comfortable, deal",1,Richard Barber
0,"months, fine, worst, different, got",1,Justin Carpenter
10,"bad, service, customer, poor, provided",1,Justin Carpenter
0,"happy, shopzilla, service, customer, product",1,Mr. Jeremy Sanchez
1,"coordinative, helpful, person, executive, polite",1,Mr. Jeremy Sanchez
22,"solve, happy, problem, talk, nice",1,Mr. Jeremy Sanchez
-1,"helpfulshe, problemthank, resolved, care, executive",1,Margaret Prince
0,"ing, mothererall, worksend, expensive, jan",3,Margaret Prince
11,"suporrt, satisfied, staff, happy, customer",1,Margaret Prince
13,"excellent, service, customer, awesome, amazing",1,Margaret Prince
27,"talking, nice, costomer, easily, supporting",1,Margaret Prince
52,"excellent, services, care, pethetic, customer",1,Margaret Prince
-1,"maam, talk, nice, talking, customer",1,Christina Chavez
0,"issueits, musicpls, assistim, constantly, lied",2,Christina Chavez
3,"refer, knowledgeable, professional, agent, support",1,Christina Chavez
0,"returnreplacement, obvious, arrival, scenario, defect",1,Olivia Nguyen
1,"thankful, fully, satisfied, executive, helpful",1,Olivia Nguyen
2,"desk, escalation, senior, rights, welltalking",1,Olivia Nguyen
7,"person, good, muchh, thise, toking",1,Olivia Nguyen
2,"suffered, lapses, damages, agony, courtesy",1,Rachel Barnes
8,"easily, easy, reach, process, make",1,Rachel Barnes
-1,"love, humble, conversation, nice, care",1,Henry Melendez
32,"nice, person, helpful, thank, ",1,Henry Melendez
-1,"ethics, wasting, solution, provided, executives",1,Timothy Henry
0,"length, compensate, strictly, buyers, adequate",1,Timothy Henry
17,"thanks, care, customer, thank, thanku",1,Timothy Henry
44,"goodthnxx, coustomer, costomer, coustmer, executive",1,Timothy Henry
-1,"coustomer, resolve, helpful, problem, support",1,William Little MD
0,"cover, plan, purchase, wil, repairing",2,William Little MD
-1,"way, polite, talking, good, talk",1,Amanda Martinez
0,"abhishek, thankyou, interaction, resolved, polite",1,Amanda Martinez
15,"support, want, way, help, executive",1,Amanda Martinez
0,"counter, fake, sellers, product, shopzilla",1,Mark Cook
-1,"sweetly, talking, talk, customer, support",1,Scott Murphy
0,"talk, shopzilla, care, service, good",1,Scott Murphy
4,"experience, care, good, customer, services",1,Scott Murphy
27,"awesome, talking, nice, costomer, easily",1,Scott Murphy
9,"minutes, solved, thank, problem, executive",1,Jacob Arnold
11,"thanks, care, customer, happy, satisfied",1,Jacob Arnold
56,"brother, nice, care, services, customer",1,Jacob Arnold
3,"consult, agent, good, agents, knowledgeable",1,Joshua Oliver
0,"super, perfect, love, person, shopzilla",1,Katrina Rodriguez
12,"service, good, customer, nice, helpful",1,Katrina Rodriguez
1,"returnthank, creating, new, process, helped",1,Katrina White
5,"good, executive, customer, care, helpful",1,Katrina White
17,"thank, care, executive, customer, thanks",1,Katrina White
-1,"respect, person, talk, talking, customer",1,Jennifer Morales
0,"gets, pronuncing, undeliveredon, confirms, agentsterrible",1,Jennifer Morales
2,"discussions, discussing, productand, solutionseller, tag",1,Jennifer Morales
7,"person, good, muchh, thise, toking",1,Jennifer Morales
11,"iam, happy, support, satisfied, care",1,Jennifer Morales
29,"wish, repeat, person, nice, thanx",1,Jennifer Morales
0,"suggestions, shopzillas, giving, people, solved",1,Benjamin Lewis
17,"thankyou, care, thanks, thank, customer",1,Gregory Morales
-1,"great, care, customer, talk, talking",1,Sara Campbell
26,"lil, smile, resolutionthank, talk, face",1,Sara Campbell
-1,"assist, regarding, help, happy, problem",1,Cindy Stewart
0,"shipments, dispatch, inform, missing, grocery",1,Cindy Stewart
1,"executivepicked, thanks, lot, today, support",1,Cindy Stewart
6,"support, care, good, customer, supportive",1,Cindy Stewart
27,"talking, nice, costomer, easily, supporting",1,Cindy Stewart
38,"person, good, mindblowing, tolking, thish",1,Cindy Stewart
-1,"bright, wish, future, humble, kind",1,Stacey Miller
0,"shopzillahats, shopzillakeeping, makes, cooperative, immediately",1,Stacey Miller
5,"damn, respected, best, approach, rating",1,Brittany Thornton
2,"audible, speedy, senior, resolution, tough",2,Scott Chang
32,"nice, person, helpful, thank, ",1,Scott Chang
-1,"2016, exicutive, using, connected, thats",1,Christopher Mcintosh
0,"accused, highlighted, shopzillatrack, til, matteronly",1,Christopher Mcintosh
1,"proclaimed, isnu2019t, solved, executive, issue",1,Christopher Mcintosh
5,"good, executive, customer, care, helpful",1,Christopher Mcintosh
33,"worst, provider, post, senior, service",1,Ashley Robinson
1,"talk, nice, executive, helpful, polite",1,Joshua Watson
0,"looting, application, feel, use, think",1,Sarah Ross
7,"person, good, muchh, thise, toking",1,Steven Sanders
5,"behave, knowledge, good, executive, customer",1,Janet Turner
5,"extremely, helpful, executive, care, customer",1,Christina Lopez
27,"talking, nice, costomer, easily, supporting",1,Christina Lopez
4,"care, good, customer, experience, services",1,Tim Mcintosh II
8,"disgusting, number, phone, care, easy",1,Tim Mcintosh II
0,"warranty, selling, deliveredgive, fake, permission",2,Zachary Collins
2,"cracking, voice, probably, follow, fine",1,Zachary Collins
-1,"needed, feel, process, told, just",1,Tristan Holt
1,"effort, executive, good, helpful, polite",1,Tristan Holt
21,"bad, service, executive, customer, experience",1,Mary Orr
-1,"installation, 101, ignoringif, regrets, assign",2,Scott Scott
22,"proceeding, dealing, got, work, know",1,Scott Scott
1,"did, solved, issue, executive, helpful",1,Cindy Kerr
39,"okay, fully, satisfied, happy, executive",1,Cindy Kerr
-1,"team, polite, service, good, customer",1,Kristi Nash
0,"thank, shopzilla, care, customer, product",1,Kristi Nash
-1,"sudden, fee, custom, bot, showed",2,Albert Thornton
0,"thanksgiving, conversation, time, nice, executive",1,Stacy Washington
1,"addressed, properly, concern, helpful, polite",1,Stacy Washington
42,"talking, good, sport, talk, excutive",1,Stacy Washington
2,"canu2019t, badly, address, representative, senior",1,Desiree Torres
6,"support, service, good, customer, care",1,Desiree Torres
-1,"replied, kept, long, hold, worst",1,Lindsay Ward
0,"receiving, agent, time, delivery, shopzilla",1,Lindsay Ward
18,"person, good, excellent, attend, best",1,Lindsay Ward
21,"dissatisfied, idea, say, executive, customer",1,Lindsay Ward
27,"talking, nice, costomer, easily, supporting",1,Lindsay Ward
48,"rate, want, behaviour, polite, good",1,Chris White
