Topic,Words,Frequency,Class
0,"return, withou, informationthey, itemu, resolvedno",2,Kim Barnes
4,"care, good, customer, experience, services",1,Kim Barnes
44,"coustomer, long, taken, costomer, resolve",1,Kim Barnes
-1,"required, response, didnt, information, dont",1,Paul Hamilton
7,"person, good, muchh, thise, toking",1,Paul Hamilton
0,"likes, shopping, bad, shopzilla, care",2,Mrs. Jordan Miller
0,"communication, team, thanks, shopzilla, care",1,Jose Jordan
29,"interesting, person, nice, thanx, lovely",1,Jose Jordan
56,"nice, care, customer, services, brother",1,Jose Jordan
-1,"behavior, excellent, support, executive, customer",1,Frank Kelley
-1,"resolve, talk, issue, good, talking",1,Rachel Reid
2,"disconnected, getting, support, executive, customer",1,Sarah Hendricks
9,"short, resolved, problem, time, care",1,Sarah Hendricks
21,"useless, executives, customer, experience, novice",1,Sarah Hendricks
44,"coustmer, excellent, coustomer, talking, costomer",1,Sarah Hendricks
37,"superb, language, talking, style, wass",1,Diana White
47,"talk, nice, nicely, good, ",1,Diana White
53,"helpful, person, gd, helpfulappreciating, qualified",1,Diana White
-1,"youbut, ac, installation, poor, happy",2,Mr. George Hall Jr.
7,"person, good, muchh, thise, toking",1,Mr. George Hall Jr.
13,"wonderful, service, excellent, awesome, customer",1,Mr. George Hall Jr.
25,"service, good, customer, hole, job",1,Mr. George Hall Jr.
52,"impressive, excellent, care, service, pethetic",1,Mr. George Hall Jr.
15,"best, support, executive, customer, supportive",1,Carol Washington
19,"madam, solve, issue, person, care",1,Carol Washington
53,"qualified, personthank, better, helpful, response",1,Carol Washington
14,"really, polite, talk, person, good",1,Michael Johnson
-1,"persona, helpful, good, talk, talking",1,Terry Young
5,"experience, care, executive, good, service",1,Terry Young
13,"responsable, excellent, service, awesome, customer",1,Terry Young
13,"excellent, service, customer, awesome, amazing",1,Brian Hines
-1,"cooperation, appreciate, politely, staff, really",1,Jennifer Munoz
1,"ai, useless, gave, response, provide",1,Jennifer Munoz
-1,"process, solving, good, issue, support",1,Stephen Lee
14,"honoured, fantastic, work, excellent, talk",1,Stephen Lee
41,"support, executive, good, great, executiveproblem",1,Stephen Lee
0,"ive, paid, review, ups, grown",2,Karen Montgomery
0,"mea, teken, soe, losing, delever",1,Karen Martin
0,"9pm, agentso, 11, waited, came",1,Chelsey Hodges
0,"punished, rejected, contact, work, like",1,Sergio Carrillo
12,"comfortable, appreciated, quick, service, nice",1,Sergio Carrillo
24,"glad, solved, problem, care, customer",1,Sergio Carrillo
23,"adequate, officer, knowledge, care, customer",1,Jerry Green
0,"glitch, cancels, automatically, pay, request",1,Jasmin Rasmussen
16,"chatting, work, excellent, seller, good",1,Jasmin Rasmussen
0,"misconduct, poor, delivery, behaviour, agent",1,Joshua Mccarthy
1,"behaviour, good, person, executive, helpful",1,Joshua Mccarthy
-1,"3rd, candidates, delighted, servicesteffy, appreciate",1,Bruce Smith
0,"sirshopzilla, immediately, does, sure, cancel",2,Bruce Smith
35,"great, talk, talking, nice, pleasure",1,Bruce Smith
-1,"month, speak, staff, refund, way",2,Melissa Murray
0,"agentthanks, providing, lot, provided, work",1,Melissa Murray
1,"recruiting, attended, understanding, people, great",2,Melissa Murray
-1,"like, talk, nice, good, talking",1,Randy May
5,"resourceful, eager, patient, spoken, efficient",1,Randy May
11,"happy, service, customer, satisfied, unhappy",1,Randy May
